id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"1748311","k","miasto_woj154","woj19","domena_kat24","54","ipA14","ipB1327","nie",,,,"2014-11-12",
"2486590",,"miasto_woj225","woj8","domena_kat24","51","ipA36","ipB3540","nie","mieszkanie","wybory124","c022","2014-11-13",
"1916840","k","miasto_woj154","woj30","domena_kat9","24","ipA11","ipB2342","nie","wiezowiec","wybory117","c004","2014-11-13",
"4155203","k","miasto_woj185","woj3","domena_kat24","59","ipA11","ipB2642","nie","mieszkanie","wybory336","r135","2014-11-11",
"3365207",,"miasto_woj154","woj17","domena_kat9",,"ipA10","ipB67","nie",,,,"2014-11-13",
"411920","k","miasto_woj3","woj23","domena_kat9","65","ipA22","ipB3152","nie","mieszkanie","wybory259","c005","2014-11-12",
"3746853","k","miasto_woj154","woj32","domena_kat10","39","ipA17","ipB2139","nie","mieszkanie","wybory270","h088","2014-11-11",
"1567475","m","miasto_woj154","woj4","domena_kat18","21","ipA6","ipB2160","nie","mieszkanie","wybory360","r015","2014-11-12",
"4532864","k","miasto_woj154","woj12","domena_kat24","52","ipA29","ipB398","nie","mieszkanie","wybory274","r011","2014-11-11",
"819057","k","miasto_woj154","woj11","domena_kat17","70","ipA14","ipB2178","nie","wiezowiec","wybory304","h072","2014-11-12",
"827854","m","miasto_woj154","woj38","domena_kat24","51","ipA13","ipB1270","nie","mieszkanie","wybory335","c002","2014-11-12",
"2869532","k","miasto_woj154","woj34","domena_kat24","54","ipA4","ipB4","nie","mieszkanie","wybory129","c003","2014-11-13",
"2946009","m","miasto_woj154","woj20","domena_kat12","72","ipA10","ipB869","nie","mieszkanie","wybory309","r003","2014-11-13",
"1549726","k","miasto_woj1","woj3","domena_kat18","29","ipA44","ipB4439","nie","mieszkanie","wybory384","r001","2014-11-12",
"434878","k","miasto_woj210","woj18","domena_kat24","19","ipA44","ipB2830","nie","mieszkanie","wybory300","r006","2014-11-12",
"4249273","k","miasto_woj154","woj1","domena_kat9","61","ipA13","ipB1898","nie","mieszkanie","wybory32","c007","2014-11-11",
"4874417","k","miasto_woj154","woj12","domena_kat10","42","ipA20","ipB675","nie","wiezowiec","wybory35","c007","2014-11-11",
"2598475",,"miasto_woj154","woj5","domena_kat9",,"ipA11","ipB2526","nie",,,,"2014-11-13",
"3441300","k","miasto_woj154","woj12","domena_kat24","32","ipA6","ipB1123","nie",,,,"2014-11-11",
"952471","m","miasto_woj154","woj20","domena_kat24","68","ipA19","ipB27","nie","mieszkanie","wybory296","r002","2014-11-12",
"3806693",,"miasto_woj148","woj8","domena_kat13",,"ipA18","ipB222","nie",,,,"2014-11-11",
"3640391","k","miasto_woj230","woj16","domena_kat10","37","ipA14","ipB3373","nie","mieszkanie","wybory19","r007","2014-11-11",
"4722940",,"miasto_woj154","woj41","domena_kat9",,"ipA7","ipB167","nie",,,,"2014-11-11",
"3345039","k","miasto_woj154","woj37","domena_kat24","53","ipA5","ipB3703","nie","mieszkanie","wybory137","c004","2014-11-13",
"575799","m","miasto_woj154","woj20","domena_kat3","81","ipA11","ipB2931","nie","mieszkanie","wybory371","r007","2014-11-12",
"2497647","m","miasto_woj188","woj12","domena_kat24","45","ipA32","ipB1483","nie","wiezowiec","wybory387","c004","2014-11-13",
"2810447","k","miasto_woj154","woj12","domena_kat24","48","ipA4","ipB2262","nie","mieszkanie","wybory293","c021","2014-11-13",
"4562702","k","miasto_woj154","woj20","domena_kat24","63","ipA41","ipB181","nie","mieszkanie","wybory191","r001","2014-11-11",
"725563","m","miasto_woj154","woj6","domena_kat9","56","ipA2","ipB35","nie","mieszkanie","wybory378","h088","2014-11-12",
"4103815","m","miasto_woj154","woj19","domena_kat9","61","ipA7","ipB167","tak","mieszkanie","wybory26","c002","2014-11-11",
"3909880","m","miasto_woj168","woj20","domena_kat1","50","ipA4","ipB4","nie","mieszkanie","wybory314","c020","2014-11-11",
"3139368","k","miasto_woj154","woj40","domena_kat9","54","ipA15","ipB321","nie","mieszkanie","wybory233","r002","2014-11-13",
"1351840",,"miasto_woj154","woj5","domena_kat24",,"ipA10","ipB54","nie",,,,"2014-11-12",
"2745060","k","miasto_woj65","woj3","domena_kat9","38","ipA6","ipB6","nie","mieszkanie","wybory183","c016","2014-11-13",
